time,node5
-192,3.5597894736841997
-191,3.7324473684210497
-190,3.905105263157849
-189,4.0777631578947
-188,4.25042105263155
-187,4.4038947368420995
-186,4.557368421052601
-185,4.710842105263149
-184,4.86431578947365
-183,4.902684210526299
-182,4.9410526315788985
-181,4.979421052631549
-180,5.0177894736842
-179,5.056157894736799
-178,5.09452631578945
-177,5.132894736842099
-176,5.1712631578947
-175,5.09452631578945
-174,5.0177894736842
-173,4.9410526315788985
-172,4.86431578947365
-171,4.768394736842099
-170,4.6724736842105
-169,4.576552631578899
-168,4.48063157894735
-167,4.4230789473684
-166,4.36552631578945
-165,4.3079736842105
-164,4.25042105263155
-163,4.1928684210526
-162,4.13531578947365
-161,4.0777631578947
-160,4.02021052631575
-159,3.9818421052631505
-158,3.9434736842105
-157,3.905105263157849
-156,3.866736842105251
-155,3.8475526315789006
-154,3.8283684210526
-153,3.8091842105263005
-152,3.79049601960725
-151,3.8859210526315495
-150,3.9818421052631505
-149,4.0777631578947
-148,4.173684210526299
-147,4.2120526315789
-146,4.25042105263155
-145,4.2887894736842
-144,4.327157894736801
-143,4.327157894736801
-142,4.327157894736801
-141,4.327157894736801
-140,4.327157894736801
-139,4.36552631578945
-138,4.4038947368420995
-137,4.4422631578947005
-136,4.48063157894735
-135,4.46144736842105
-134,4.4422631578947005
-133,4.4230789473684
-132,4.4038947368420995
-131,4.36552631578945
-130,4.327157894736801
-129,4.2887894736842
-128,4.25042105263155
-127,4.09694736842105
-126,3.9434736842105
-125,3.7903860096599997
-124,3.6365263157894505
-123,3.65571052631575
-122,3.6748947368420994
-121,3.6940789473684
-120,3.7132631578946995
-119,3.5406052631578495
-118,3.36794736842105
-117,3.1952894736841992
-116,3.0226315789473492
-115,2.9075263157894504
-114,2.7924210526315507
-113,2.67731578947365
-112,2.5622105263157504
-111,2.54302631578945
-110,2.5238421052631494
-109,2.504657894736801
-108,2.4854736842105005
-107,2.5622105263157504
-106,2.63894736842105
-105,2.7156842105263
-104,2.7924210526315507
-103,2.9842631578947003
-102,3.176105263157851
-101,3.36794736842105
-100,3.7597894736842
-99,3.5597894736841997
-98,3.4597894736842
-97,3.3597894736841996
-96,3.5597894736841997
-95,3.7324473684210497
-94,3.905105263157849
-93,4.0777631578947
-92,4.25042105263155
-91,4.4038947368420995
-90,4.557368421052601
-89,4.710842105263149
-88,4.86431578947365
-87,4.902684210526299
-86,4.9410526315788985
-85,4.979421052631549
-84,5.0177894736842
-83,5.056157894736799
-82,5.09452631578945
-81,5.132894736842099
-80,5.1712631578947
-79,5.09452631578945
-78,5.0177894736842
-77,4.9410526315788985
-76,4.86431578947365
-75,4.768394736842099
-74,4.6724736842105
-73,4.576552631578899
-72,4.48063157894735
-71,4.4230789473684
-70,4.36552631578945
-69,4.3079736842105
-68,4.25042105263155
-67,4.1928684210526
-66,4.13531578947365
-65,4.0777631578947
-64,4.02021052631575
-63,3.9818421052631505
-62,3.9434736842105
-61,3.905105263157849
-60,3.866736842105251
-59,3.8475526315789006
-58,3.8283684210526
-57,3.8091842105263005
-56,3.79049601960725
-55,3.8859210526315495
-54,3.9818421052631505
-53,4.0777631578947
-52,4.173684210526299
-51,4.2120526315789
-50,4.25042105263155
-49,4.2887894736842
-48,4.327157894736801
-47,4.327157894736801
-46,4.327157894736801
-45,4.327157894736801
-44,4.327157894736801
-43,4.36552631578945
-42,4.4038947368420995
-41,4.4422631578947005
-40,4.48063157894735
-39,4.46144736842105
-38,4.4422631578947005
-37,4.4230789473684
-36,4.4038947368420995
-35,4.36552631578945
-34,4.327157894736801
-33,4.2887894736842
-32,4.25042105263155
-31,4.09694736842105
-30,3.9434736842105
-29,3.7903860096599997
-28,3.6365263157894505
-27,3.65571052631575
-26,3.6748947368420994
-25,3.6940789473684
-24,3.7132631578946995
-23,3.5406052631578495
-22,3.36794736842105
-21,3.1952894736841992
-20,3.0226315789473492
-19,2.9075263157894504
-18,2.7924210526315507
-17,2.67731578947365
-16,2.5622105263157504
-15,2.54302631578945
-14,2.5238421052631494
-13,2.504657894736801
-12,2.4854736842105005
-11,2.5622105263157504
-10,2.63894736842105
-9,2.7156842105263
-8,2.7924210526315507
-7,2.9842631578947003
-6,3.176105263157851
-5,3.36794736842105
